Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,0.018549,0.021888,0.018437,0.020301,0.020301,3940764
2021-08-18,0.020267,0.020332,0.019059,0.019959,0.019959,3999046
2021-08-19,0.019951,0.021174,0.019213,0.020809,0.020809,4078397
2021-08-20,0.020818,0.022055,0.020091,0.021196,0.021196,5006980
2021-08-21,0.021196,0.021378,0.020159,0.020486,0.020486,4104247
2021-08-22,0.020485,0.026514,0.020456,0.025692,0.025692,10922047
2021-08-23,0.025678,0.031633,0.025644,0.027160,0.027160,17953651
2021-08-24,0.027158,0.029929,0.024491,0.027513,0.027513,11754383
2021-08-25,0.027510,0.029301,0.026462,0.029070,0.029070,8268148
2021-08-26,0.029068,0.038324,0.028916,0.032547,0.032547,18754092
2021-08-27,0.032558,0.032710,0.029388,0.031270,0.031270,12766097
2021-08-28,0.031302,0.031862,0.029944,0.029944,0.029944,5627336
2021-08-29,0.029903,0.029907,0.028441,0.029288,0.029288,5039474
2021-08-30,0.029281,0.029287,0.026697,0.026697,0.026697,5602108
2021-08-31,0.026676,0.026970,0.024713,0.025026,0.025026,6289098
2021-09-01,0.025019,0.026763,0.024979,0.026274,0.026274,4342785
2021-09-02,0.026262,0.026627,0.025547,0.025594,0.025594,5607729
2021-09-03,0.025590,0.025776,0.023973,0.023973,0.023973,7016724
2021-09-04,0.023973,0.024852,0.023553,0.023751,0.023751,4848544
2021-09-05,0.023738,0.024323,0.023267,0.024022,0.024022,4171230
2021-09-06,0.024020,0.024553,0.023735,0.023933,0.023933,4385656
2021-09-07,0.023934,0.025210,0.022154,0.023043,0.023043,8138022
2021-09-08,0.023039,0.023288,0.020696,0.021118,0.021118,5306196
2021-09-09,0.021267,0.022708,0.021124,0.022047,0.022047,4944844
2021-09-10,0.022029,0.022486,0.020957,0.021004,0.021004,3996914
2021-09-11,0.021006,0.021569,0.020754,0.021191,0.021191,2993355
2021-09-12,0.021191,0.021424,0.020696,0.021028,0.021028,3770782
2021-09-13,0.021029,0.076330,0.020903,0.047267,0.047267,691890302
2021-09-14,0.047231,0.053550,0.044125,0.044125,0.044125,163244616
2021-09-15,0.043982,0.056585,0.043070,0.051990,0.051990,128852257
